"CountryCode","SeriesCode","DESCRIPTION",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ATG","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Excluding nationals residing abroad. From 2004 arrivals by air.",
"ATG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
